"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	Deaths	Population	Crude Rate
	"25-34 years"	"25-34"	"Infections of the skin and subcutaneous tissue"	"L00-L08"	32	46069646	0.1
	"25-34 years"	"25-34"	"Other disorders of the skin and subcutaneous tissue"	"L80-L98"	18	46069646	Unreliable
	"25-34 years"	"25-34"	"Systemic connective tissue disorders"	"M30-M35"	166	46069646	0.4
	"25-34 years"	"25-34"	"Soft tissue disorders"	"M60-M79"	48	46069646	0.1
	"25-34 years"	"25-34"	"Osteopathies and chondropathies"	"M80-M94"	20	46069646	0.0
	"25-34 years"	"25-34"	"Glomerular diseases"	"N00-N07"	11	46069646	Unreliable
	"25-34 years"	"25-34"	"Renal tubulo-interstitial diseases"	"N10-N15"	30	46069646	0.1
	"25-34 years"	"25-34"	"Renal failure"	"N17-N19"	304	46069646	0.7
	"25-34 years"	"25-34"	"Other disorders of kidney and ureter"	"N25-N28"	47	46069646	0.1
	"25-34 years"	"25-34"	"Other diseases of urinary system"	"N30-N39"	41	46069646	0.1
	"25-34 years"	"25-34"	"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium"	"O10-O16"	43	46069646	0.1
	"25-34 years"	"25-34"	"Other maternal disorders predominantly related to pregnancy"	"O20-O29"	156	46069646	0.3
	"25-34 years"	"25-34"	"Maternal care related to the fetus and amniotic cavity and possible delivery problems"	"O30-O48"	21	46069646	0.0
	"25-34 years"	"25-34"	"Complications of labour and delivery"	"O60-O75"	19	46069646	Unreliable
	"25-34 years"	"25-34"	"Complications predominantly related to the puerperium"	"O85-O92"	32	46069646	0.1
	"25-34 years"	"25-34"	"Other obstetric conditions, not elsewhere classified"	"O95-O99"	314	46069646	0.7
	"25-34 years"	"25-34"	"Congenital malformations of the nervous system"	"Q00-Q07"	70	46069646	0.2
	"25-34 years"	"25-34"	"Congenital malformations of the circulatory system"	"Q20-Q28"	172	46069646	0.4
	"25-34 years"	"25-34"	"Other congenital malformations of the digestive system"	"Q38-Q45"	11	46069646	Unreliable
	"25-34 years"	"25-34"	"Congenital malformations of the urinary system"	"Q60-Q64"	17	46069646	Unreliable
	"25-34 years"	"25-34"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	19	46069646	Unreliable
	"25-34 years"	"25-34"	"Other congenital malformations"	"Q80-Q89"	91	46069646	0.2
	"25-34 years"	"25-34"	"Chromosomal abnormalities, not elsewhere classified"	"Q90-Q99"	67	46069646	0.1
	"25-34 years"	"25-34"	"Symptoms and signs involving the circulatory and respiratory systems"	"R00-R09"	27	46069646	0.1
	"25-34 years"	"25-34"	"General symptoms and signs"	"R50-R68"	260	46069646	0.6
	"25-34 years"	"25-34"	"Ill-defined and unknown causes of mortality"	"R95-R99"	1070	46069646	2.3
	"25-34 years"	"25-34"	"Provisional assignment of new diseases of uncertain etiology"	"U00-U49"	2260	46069646	4.9
	"25-34 years"	"25-34"	"Transport accidents"	"V01-V99"	8386	46069646	18.2
	"25-34 years"	"25-34"	"Other external causes of accidental injury"	"W00-X59"	22828	46069646	49.6
	"25-34 years"	"25-34"	"Intentional self-harm"	"X60-X84"	8446	46069646	18.3
	"25-34 years"	"25-34"	"Assault"	"X85-Y09"	7086	46069646	15.4
	"25-34 years"	"25-34"	"Event of undetermined intent"	"Y10-Y34"	1171	46069646	2.5
	"25-34 years"	"25-34"	"Legal intervention and operations of war"	"Y35-Y36"	255	46069646	0.6
	"25-34 years"	"25-34"	"Complications of medical and surgical care"	"Y40-Y84"	98	46069646	0.2
	"25-34 years"	"25-34"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	155	46069646	0.3
"Total"	"25-34 years"	"25-34"			73486	46069646	159.5
	"35-44 years"	"35-44"	"Intestinal infectious diseases"	"A00-A09"	81	42136192	0.2
	"35-44 years"	"35-44"	"Tuberculosis"	"A16-A19"	29	42136192	0.1
	"35-44 years"	"35-44"	"Other bacterial diseases"	"A30-A49"	1121	42136192	2.7
	"35-44 years"	"35-44"	"Viral infections of the central nervous system"	"A80-A89"	17	42136192	Unreliable
	"35-44 years"	"35-44"	"Viral hepatitis"	"B15-B19"	168	42136192	0.4
	"35-44 years"	"35-44"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	770	42136192	1.8
	"35-44 years"	"35-44"	"Other viral diseases"	"B25-B34"	71	42136192	0.2
	"35-44 years"	"35-44"	"Mycoses"	"B35-B49"	71	42136192	0.2
	"35-44 years"	"35-44"	"Protozoal diseases"	"B50-B64"	15	42136192	Unreliable
	"35-44 years"	"35-44"	"Sequelae of infectious and parasitic diseases"	"B90-B94"	24	42136192	0.1
	"35-44 years"	"35-44"	"Other infectious diseases"	"B99-B99"	22	42136192	0.1
	"35-44 years"	"35-44"	"Malignant neoplasms"	"C00-C97"	10730	42136192	25.5
	"35-44 years"	"35-44"	"Benign neoplasms"	"D10-D36"	54	42136192	0.1
	"35-44 years"	"35-44"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	193	42136192	0.5
	"35-44 years"	"35-44"	"Haemolytic anaemias"	"D55-D59"	126	42136192	0.3
	"35-44 years"	"35-44"	"Aplastic and other anaemias"	"D60-D64"	60	42136192	0.1
	"35-44 years"	"35-44"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	152	42136192	0.4
	"35-44 years"	"35-44"	"Other diseases of blood and blood-forming organs"	"D70-D76"	56	42136192	0.1
	"35-44 years"	"35-44"	"Certain disorders involving the immune mechanism"	"D80-D89"	89	42136192	0.2
	"35-44 years"	"35-44"	"Disorders of thyroid gland"	"E00-E07"	58	42136192	0.1
	"35-44 years"	"35-44"	"Diabetes mellitus"	"E10-E14"	2904	42136192	6.9
	"35-44 years"	"35-44"	"Other disorders of glucose regulation and pancreatic internal secretion"	"E15-E16"	19	42136192	Unreliable
	"35-44 years"	"35-44"	"Disorders of other endocrine glands"	"E20-E34"	25	42136192	0.1
	"35-44 years"	"35-44"	"Malnutrition"	"E40-E46"	81	42136192	0.2
	"35-44 years"	"35-44"	"Obesity and other hyperalimentation"	"E65-E68"	1216	42136192	2.9
	"35-44 years"	"35-44"	"Metabolic disorders"	"E70-E88"	502	42136192	1.2
	"35-44 years"	"35-44"	"Organic, including symptomatic, mental disorders"	"F01-F09"	18	42136192	Unreliable
	"35-44 years"	"35-44"	"Mental and behavioural disorders due to psychoactive substance use"	"F10-F19"	2779	42136192	6.6
	"35-44 years"	"35-44"	"Schizophrenia, schizotypal and delusional disorders"	"F20-F29"	19	42136192	Unreliable
	"35-44 years"	"35-44"	"Mood [affective] disorders"	"F30-F39"	11	42136192	Unreliable
	"35-44 years"	"35-44"	"Behavioural syndromes associated with physiological disturbances and physical factors"	"F50-F59"	34	42136192	0.1
	"35-44 years"	"35-44"	"Mental retardation"	"F70-F79"	17	42136192	Unreliable
	"35-44 years"	"35-44"	"Disorders of psychological development"	"F80-F89"	13	42136192	Unreliable
	"35-44 years"	"35-44"	"Inflammatory diseases of the central nervous system"	"G00-G09"	88	42136192	0.2
	"35-44 years"	"35-44"	"Systemic atrophies primarily affecting the central nervous system"	"G10-G14"	269	42136192	0.6
	"35-44 years"	"35-44"	"Extrapyramidal and movement disorders"	"G20-G25"	16	42136192	Unreliable
	"35-44 years"	"35-44"	"Other degenerative diseases of the nervous system"	"G30-G31"	43	42136192	0.1
	"35-44 years"	"35-44"	"Demyelinating diseases of the central nervous system"	"G35-G37"	191	42136192	0.5
	"35-44 years"	"35-44"	"Episodic and paroxysmal disorders"	"G40-G47"	403	42136192	1.0
	"35-44 years"	"35-44"	"Polyneuropathies and other disorders of the peripheral nervous system"	"G60-G64"	22	42136192	0.1
	"35-44 years"	"35-44"	"Diseases of myoneural junction and muscle"	"G70-G72"	103	42136192	0.2
	"35-44 years"	"35-44"	"Cerebral palsy and other paralytic syndromes"	"G80-G83"	334	42136192	0.8
	"35-44 years"	"35-44"	"Other disorders of the nervous system"	"G90-G98"	692	42136192	1.6
	"35-44 years"	"35-44"	"Chronic rheumatic heart diseases"	"I05-I09"	110	42136192	0.3
	"35-44 years"	"35-44"	"Hypertensive diseases"	"I10-I15"	2783	42136192	6.6
	"35-44 years"	"35-44"	"Ischaemic heart diseases"	"I20-I25"	5133	42136192	12.2
	"35-44 years"	"35-44"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"	889	42136192	2.1
	"35-44 years"	"35-44"	"Other forms of heart disease"	"I30-I51"	3838	42136192	9.1
	"35-44 years"	"35-44"	"Cerebrovascular diseases"	"I60-I69"	2008	42136192	4.8
	"35-44 years"	"35-44"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	539	42136192	1.3
	"35-44 years"	"35-44"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	481	42136192	1.1
	"35-44 years"	"35-44"	"Other and unspecified disorders of the circulatory system"	"I95-I99"	11	42136192	Unreliable
	"35-44 years"	"35-44"	"Acute upper respiratory infections"	"J00-J06"	19	42136192	Unreliable
	"35-44 years"	"35-44"	"Influenza and pneumonia"	"J09-J18"	1148	42136192	2.7
	"35-44 years"	"35-44"	"Other diseases of upper respiratory tract"	"J30-J39"	21	42136192	0.0
	"35-44 years"	"35-44"	"Chronic lower respiratory diseases"	"J40-J47"	793	42136192	1.9
	"35-44 years"	"35-44"	"Lung diseases due to external agents"	"J60-J70"	251	42136192	0.6
	"35-44 years"	"35-44"	"Other respiratory diseases principally affecting the interstitium"	"J80-J84"	228	42136192	0.5
	"35-44 years"	"35-44"	"Suppurative and necrotic conditions of lower respiratory tract"	"J85-J86"	64	42136192	0.2
	"35-44 years"	"35-44"	"Other diseases of pleura"	"J90-J94"	25	42136192	0.1
	"35-44 years"	"35-44"	"Other diseases of the respiratory system"	"J96-J98"	325	42136192	0.8
	"35-44 years"	"35-44"	"Diseases of oral cavity, salivary glands and jaws"	"K00-K14"	10	42136192	Unreliable
	"35-44 years"	"35-44"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	180	42136192	0.4
	"35-44 years"	"35-44"	"Diseases of appendix"	"K35-K38"	18	42136192	Unreliable
	"35-44 years"	"35-44"	"Hernia"	"K40-K46"	45	42136192	0.1
	"35-44 years"	"35-44"	"Noninfective enteritis and colitis"	"K50-K52"	55	42136192	0.1
	"35-44 years"	"35-44"	"Other diseases of intestines"	"K55-K63"	353	42136192	0.8
	"35-44 years"	"35-44"	"Diseases of peritoneum"	"K65-K66"	86	42136192	0.2
	"35-44 years"	"35-44"	"Diseases of liver"	"K70-K76"	5700	42136192	13.5
	"35-44 years"	"35-44"	"Disorders of gallbladder, biliary tract and pancreas"	"K80-K86"	506	42136192	1.2
	"35-44 years"	"35-44"	"Other diseases of the digestive system"	"K90-K92"	222	42136192	0.5
	"35-44 years"	"35-44"	"Infections of the skin and subcutaneous tissue"	"L00-L08"	83	42136192	0.2
	"35-44 years"	"35-44"	"Urticaria and erythema"	"L50-L53"	10	42136192	Unreliable
	"35-44 years"	"35-44"	"Other disorders of the skin and subcutaneous tissue"	"L80-L98"	50	42136192	0.1
	"35-44 years"	"35-44"	"Arthropathies"	"M00-M25"	31	42136192	0.1
	"35-44 years"	"35-44"	"Systemic connective tissue disorders"	"M30-M35"	296	42136192	0.7
	"35-44 years"	"35-44"	"Dorsopathies"	"M40-M54"	22	42136192	0.1
	"35-44 years"	"35-44"	"Soft tissue disorders"	"M60-M79"	117	42136192	0.3
	"35-44 years"	"35-44"	"Osteopathies and chondropathies"	"M80-M94"	57	42136192	0.1
	"35-44 years"	"35-44"	"Glomerular diseases"	"N00-N07"	27	42136192	0.1
	"35-44 years"	"35-44"	"Renal tubulo-interstitial diseases"	"N10-N15"	44	42136192	0.1
	"35-44 years"	"35-44"	"Renal failure"	"N17-N19"	825	42136192	2.0
	"35-44 years"	"35-44"	"Other disorders of kidney and ureter"	"N25-N28"	105	42136192	0.2
	"35-44 years"	"35-44"	"Other diseases of urinary system"	"N30-N39"	98	42136192	0.2
	"35-44 years"	"35-44"	"Diseases of male genital organs"	"N40-N50"	20	42136192	0.0
	"35-44 years"	"35-44"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	12	42136192	Unreliable
	"35-44 years"	"35-44"	"Noninflammatory disorders of female genital tract"	"N80-N98"	18	42136192	Unreliable
	"35-44 years"	"35-44"	"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium"	"O10-O16"	32	42136192	0.1
	"35-44 years"	"35-44"	"Other maternal disorders predominantly related to pregnancy"	"O20-O29"	128	42136192	0.3
	"35-44 years"	"35-44"	"Complications of labour and delivery"	"O60-O75"	13	42136192	Unreliable
	"35-44 years"	"35-44"	"Complications predominantly related to the puerperium"	"O85-O92"	19	42136192	Unreliable
	"35-44 years"	"35-44"	"Other obstetric conditions, not elsewhere classified"	"O95-O99"	267	42136192	0.6
	"35-44 years"	"35-44"	"Congenital malformations of the nervous system"	"Q00-Q07"	75	42136192	0.2
	"35-44 years"	"35-44"	"Congenital malformations of the circulatory system"	"Q20-Q28"	192	42136192	0.5
	"35-44 years"	"35-44"	"Other congenital malformations of the digestive system"	"Q38-Q45"	17	42136192	Unreliable
	"35-44 years"	"35-44"	"Congenital malformations of the urinary system"	"Q60-Q64"	31	42136192	0.1
	"35-44 years"	"35-44"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	19	42136192	Unreliable
	"35-44 years"	"35-44"	"Other congenital malformations"	"Q80-Q89"	87	42136192	0.2
	"35-44 years"	"35-44"	"Chromosomal abnormalities, not elsewhere classified"	"Q90-Q99"	72	42136192	0.2
	"35-44 years"	"35-44"	"Symptoms and signs involving the circulatory and respiratory systems"	"R00-R09"	52	42136192	0.1
	"35-44 years"	"35-44"	"General symptoms and signs"	"R50-R68"	276	42136192	0.7
	"35-44 years"	"35-44"	"Ill-defined and unknown causes of mortality"	"R95-R99"	1175	42136192	2.8
	"35-44 years"	"35-44"	"Provisional assignment of new diseases of uncertain etiology"	"U00-U49"	6084	42136192	14.4
	"35-44 years"	"35-44"	"Transport accidents"	"V01-V99"	6549	42136192	15.5
	"35-44 years"	"35-44"	"Other external causes of accidental injury"	"W00-X59"	24355	42136192	57.8
	"35-44 years"	"35-44"	"Intentional self-harm"	"X60-X84"	7311	42136192	17.4
	"35-44 years"	"35-44"	"Assault"	"X85-Y09"	4438	42136192	10.5
	"35-44 years"	"35-44"	"Event of undetermined intent"	"Y10-Y34"	1227	42136192	2.9
	"35-44 years"	"35-44"	"Legal intervention and operations of war"	"Y35-Y36"	197	42136192	0.5
	"35-44 years"	"35-44"	"Complications of medical and surgical care"	"Y40-Y84"	197	42136192	0.5
	"35-44 years"	"35-44"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	216	42136192	0.5
"Total"	"35-44 years"	"35-44"			104490	42136192	248.0
	"45-54 years"	"45-54"	"Intestinal infectious diseases"	"A00-A09"	285	40366133	0.7
	"45-54 years"	"45-54"	"Tuberculosis"	"A16-A19"	55	40366133	0.1
	"45-54 years"	"45-54"	"Other bacterial diseases"	"A30-A49"	2764	40366133	6.8
	"45-54 years"	"45-54"	"Viral infections of the central nervous system"	"A80-A89"	47	40366133	0.1
	"45-54 years"	"45-54"	"Viral infections characterized by skin and mucous membrane lesions"	"B00-B09"	21	40366133	0.1
	"45-54 years"	"45-54"	"Viral hepatitis"	"B15-B19"	518	40366133	1.3
	"45-54 years"	"45-54"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	1165	40366133	2.9
	"45-54 years"	"45-54"	"Other viral diseases"	"B25-B34"	166	40366133	0.4
	"45-54 years"	"45-54"	"Mycoses"	"B35-B49"	141	40366133	0.3
	"45-54 years"	"45-54"	"Protozoal diseases"	"B50-B64"	17	40366133	Unreliable
	"45-54 years"	"45-54"	"Sequelae of infectious and parasitic diseases"	"B90-B94"	38	40366133	0.1
	"45-54 years"	"45-54"	"Other infectious diseases"	"B99-B99"	38	40366133	0.1
	"45-54 years"	"45-54"	"Malignant neoplasms"	"C00-C97"	34589	40366133	85.7
	"45-54 years"	"45-54"	"Benign neoplasms"	"D10-D36"	107	40366133	0.3
	"45-54 years"	"45-54"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	379	40366133	0.9
	"45-54 years"	"45-54"	"Nutritional anaemias"	"D50-D53"	18	40366133	Unreliable
	"45-54 years"	"45-54"	"Haemolytic anaemias"	"D55-D59"	142	40366133	0.4
	"45-54 years"	"45-54"	"Aplastic and other anaemias"	"D60-D64"	130	40366133	0.3
	"45-54 years"	"45-54"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	276	40366133	0.7
	"45-54 years"	"45-54"	"Other diseases of blood and blood-forming organs"	"D70-D76"	93	40366133	0.2
	"45-54 years"	"45-54"	"Certain disorders involving the immune mechanism"	"D80-D89"	198	40366133	0.5
	"45-54 years"	"45-54"	"Disorders of thyroid gland"	"E00-E07"	122	40366133	0.3
	"45-54 years"	"45-54"	"Diabetes mellitus"	"E10-E14"	7546	40366133	18.7
	"45-54 years"	"45-54"	"Other disorders of glucose regulation and pancreatic internal secretion"	"E15-E16"	43	40366133	0.1
	"45-54 years"	"45-54"	"Disorders of other endocrine glands"	"E20-E34"	57	40366133	0.1
	"45-54 years"	"45-54"	"Malnutrition"	"E40-E46"	223	40366133	0.6
	"45-54 years"	"45-54"	"Other nutritional deficiencies"	"E50-E64"	12	40366133	Unreliable
	"45-54 years"	"45-54"	"Obesity and other hyperalimentation"	"E65-E68"	1953	40366133	4.8
	"45-54 years"	"45-54"	"Metabolic disorders"	"E70-E88"	1368	40366133	3.4
	"45-54 years"	"45-54"	"Organic, including symptomatic, mental disorders"	"F01-F09"	117	40366133	0.3
	"45-54 years"	"45-54"	"Mental and behavioural disorders due to psychoactive substance use"	"F10-F19"	4197	40366133	10.4
	"45-54 years"	"45-54"	"Schizophrenia, schizotypal and delusional disorders"	"F20-F29"	54	40366133	0.1
	"45-54 years"	"45-54"	"Mood [affective] disorders"	"F30-F39"	41	40366133	0.1
	"45-54 years"	"45-54"	"Neurotic, stress-related and somatoform disorders"	"F40-F48"	25	40366133	0.1
	"45-54 years"	"45-54"	"Behavioural syndromes associated with physiological disturbances and physical factors"	"F50-F59"	28	40366133	0.1
	"45-54 years"	"45-54"	"Mental retardation"	"F70-F79"	44	40366133	0.1
	"45-54 years"	"45-54"	"Disorders of psychological development"	"F80-F89"	16	40366133	Unreliable
	"45-54 years"	"45-54"	"Inflammatory diseases of the central nervous system"	"G00-G09"	158	40366133	0.4
	"45-54 years"	"45-54"	"Systemic atrophies primarily affecting the central nervous system"	"G10-G14"	826	40366133	2.0
	"45-54 years"	"45-54"	"Extrapyramidal and movement disorders"	"G20-G25"	107	40366133	0.3
	"45-54 years"	"45-54"	"Other degenerative diseases of the nervous system"	"G30-G31"	237	40366133	0.6
	"45-54 years"	"45-54"	"Demyelinating diseases of the central nervous system"	"G35-G37"	547	40366133	1.4
	"45-54 years"	"45-54"	"Episodic and paroxysmal disorders"	"G40-G47"	501	40366133	1.2
	"45-54 years"	"45-54"	"Polyneuropathies and other disorders of the peripheral nervous system"	"G60-G64"	61	40366133	0.2
	"45-54 years"	"45-54"	"Diseases of myoneural junction and muscle"	"G70-G72"	186	40366133	0.5
	"45-54 years"	"45-54"	"Cerebral palsy and other paralytic syndromes"	"G80-G83"	406	40366133	1.0
	"45-54 years"	"45-54"	"Other disorders of the nervous system"	"G90-G98"	1326	40366133	3.3
	"45-54 years"	"45-54"	"Chronic rheumatic heart diseases"	"I05-I09"	167	40366133	0.4
	"45-54 years"	"45-54"	"Hypertensive diseases"	"I10-I15"	7133	40366133	17.7
	"45-54 years"	"45-54"	"Ischaemic heart diseases"	"I20-I25"	18668	40366133	46.2
	"45-54 years"	"45-54"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"	1644	40366133	4.1
	"45-54 years"	"45-54"	"Other forms of heart disease"	"I30-I51"	8385	40366133	20.8
	"45-54 years"	"45-54"	"Cerebrovascular diseases"	"I60-I69"	5686	40366133	14.1
	"45-54 years"	"45-54"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	1174	40366133	2.9
	"45-54 years"	"45-54"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	703	40366133	1.7
	"45-54 years"	"45-54"	"Other and unspecified disorders of the circulatory system"	"I95-I99"	28	40366133	0.1
	"45-54 years"	"45-54"	"Influenza and pneumonia"	"J09-J18"	2511	40366133	6.2
	"45-54 years"	"45-54"	"Other acute lower respiratory infections"	"J20-J22"	20	40366133	0.0
	"45-54 years"	"45-54"	"Other diseases of upper respiratory tract"	"J30-J39"	50	40366133	0.1
	"45-54 years"	"45-54"	"Chronic lower respiratory diseases"	"J40-J47"	3538	40366133	8.8
	"45-54 years"	"45-54"	"Lung diseases due to external agents"	"J60-J70"	601	40366133	1.5
	"45-54 years"	"45-54"	"Other respiratory diseases principally affecting the interstitium"	"J80-J84"	595	40366133	1.5
	"45-54 years"	"45-54"	"Suppurative and necrotic conditions of lower respiratory tract"	"J85-J86"	95	40366133	0.2
	"45-54 years"	"45-54"	"Other diseases of pleura"	"J90-J94"	69	40366133	0.2
	"45-54 years"	"45-54"	"Other diseases of the respiratory system"	"J96-J98"	878	40366133	2.2
	"45-54 years"	"45-54"	"Diseases of oral cavity, salivary glands and jaws"	"K00-K14"	13	40366133	Unreliable
	"45-54 years"	"45-54"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	415	40366133	1.0
	"45-54 years"	"45-54"	"Diseases of appendix"	"K35-K38"	35	40366133	0.1
	"45-54 years"	"45-54"	"Hernia"	"K40-K46"	96	40366133	0.2
	"45-54 years"	"45-54"	"Noninfective enteritis and colitis"	"K50-K52"	91	40366133	0.2
	"45-54 years"	"45-54"	"Other diseases of intestines"	"K55-K63"	860	40366133	2.1
	"45-54 years"	"45-54"	"Diseases of peritoneum"	"K65-K66"	211	40366133	0.5
	"45-54 years"	"45-54"	"Diseases of liver"	"K70-K76"	11146	40366133	27.6
	"45-54 years"	"45-54"	"Disorders of gallbladder, biliary tract and pancreas"	"K80-K86"	736	40366133	1.8
	"45-54 years"	"45-54"	"Other diseases of the digestive system"	"K90-K92"	537	40366133	1.3
	"45-54 years"	"45-54"	"Infections of the skin and subcutaneous tissue"	"L00-L08"	246	40366133	0.6
	"45-54 years"	"45-54"	"Other disorders of the skin and subcutaneous tissue"	"L80-L98"	116	40366133	0.3
	"45-54 years"	"45-54"	"Arthropathies"	"M00-M25"	130	40366133	0.3
	"45-54 years"	"45-54"	"Systemic connective tissue disorders"	"M30-M35"	418	40366133	1.0
	"45-54 years"	"45-54"	"Dorsopathies"	"M40-M54"	84	40366133	0.2
	"45-54 years"	"45-54"	"Soft tissue disorders"	"M60-M79"	242	40366133	0.6
	"45-54 years"	"45-54"	"Osteopathies and chondropathies"	"M80-M94"	133	40366133	0.3
	"45-54 years"	"45-54"	"Glomerular diseases"	"N00-N07"	54	40366133	0.1
	"45-54 years"	"45-54"	"Renal tubulo-interstitial diseases"	"N10-N15"	106	40366133	0.3
	"45-54 years"	"45-54"	"Renal failure"	"N17-N19"	2284	40366133	5.7
	"45-54 years"	"45-54"	"Urolithiasis"	"N20-N23"	34	40366133	0.1
	"45-54 years"	"45-54"	"Other disorders of kidney and ureter"	"N25-N28"	285	40366133	0.7
	"45-54 years"	"45-54"	"Other diseases of urinary system"	"N30-N39"	302	40366133	0.7
	"45-54 years"	"45-54"	"Diseases of male genital organs"	"N40-N50"	51	40366133	0.1
	"45-54 years"	"45-54"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	21	40366133	0.1
	"45-54 years"	"45-54"	"Noninflammatory disorders of female genital tract"	"N80-N98"	25	40366133	0.1
	"45-54 years"	"45-54"	"Congenital malformations of the nervous system"	"Q00-Q07"	77	40366133	0.2
	"45-54 years"	"45-54"	"Congenital malformations of the circulatory system"	"Q20-Q28"	222	40366133	0.5
	"45-54 years"	"45-54"	"Other congenital malformations of the digestive system"	"Q38-Q45"	10	40366133	Unreliable
	"45-54 years"	"45-54"	"Congenital malformations of the urinary system"	"Q60-Q64"	45	40366133	0.1
	"45-54 years"	"45-54"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	15	40366133	Unreliable
	"45-54 years"	"45-54"	"Other congenital malformations"	"Q80-Q89"	73	40366133	0.2
	"45-54 years"	"45-54"	"Chromosomal abnormalities, not elsewhere classified"	"Q90-Q99"	296	40366133	0.7
	"45-54 years"	"45-54"	"Symptoms and signs involving the circulatory and respiratory systems"	"R00-R09"	156	40366133	0.4
	"45-54 years"	"45-54"	"Symptoms and signs involving the digestive system and abdomen"	"R10-R19"	10	40366133	Unreliable
	"45-54 years"	"45-54"	"General symptoms and signs"	"R50-R68"	470	40366133	1.2
	"45-54 years"	"45-54"	"Ill-defined and unknown causes of mortality"	"R95-R99"	1339	40366133	3.3
	"45-54 years"	"45-54"	"Provisional assignment of new diseases of uncertain etiology"	"U00-U49"	16973	40366133	42.0
	"45-54 years"	"45-54"	"Transport accidents"	"V01-V99"	5936	40366133	14.7
	"45-54 years"	"45-54"	"Other external causes of accidental injury"	"W00-X59"	21658	40366133	53.7
	"45-54 years"	"45-54"	"Intentional self-harm"	"X60-X84"	7244	40366133	17.9
	"45-54 years"	"45-54"	"Assault"	"X85-Y09"	2503	40366133	6.2
	"45-54 years"	"45-54"	"Event of undetermined intent"	"Y10-Y34"	1148	40366133	2.8
	"45-54 years"	"45-54"	"Legal intervention and operations of war"	"Y35-Y36"	120	40366133	0.3
	"45-54 years"	"45-54"	"Complications of medical and surgical care"	"Y40-Y84"	442	40366133	1.1
	"45-54 years"	"45-54"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	290	40366133	0.7
"Total"	"45-54 years"	"45-54"			191142	40366133	473.5
	"55-64 years"	"55-64"	"Intestinal infectious diseases"	"A00-A09"	747	42403677	1.8
	"55-64 years"	"55-64"	"Tuberculosis"	"A16-A19"	117	42403677	0.3
	"55-64 years"	"55-64"	"Certain zoonotic bacterial diseases"	"A20-A28"	11	42403677	Unreliable
	"55-64 years"	"55-64"	"Other bacterial diseases"	"A30-A49"	6838	42403677	16.1
	"55-64 years"	"55-64"	"Viral infections of the central nervous system"	"A80-A89"	194	42403677	0.5
	"55-64 years"	"55-64"	"Arthropod-borne viral fevers and viral haemorrhagic fevers"	"A90-A99"	14	42403677	Unreliable
	"55-64 years"	"55-64"	"Viral infections characterized by skin and mucous membrane lesions"	"B00-B09"	62	42403677	0.1
	"55-64 years"	"55-64"	"Viral hepatitis"	"B15-B19"	1530	42403677	3.6
	"55-64 years"	"55-64"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	1542	42403677	3.6
	"55-64 years"	"55-64"	"Other viral diseases"	"B25-B34"	371	42403677	0.9
	"55-64 years"	"55-64"	"Mycoses"	"B35-B49"	269	42403677	0.6
	"55-64 years"	"55-64"	"Protozoal diseases"	"B50-B64"	41	42403677	0.1
	"55-64 years"	"55-64"	"Sequelae of infectious and parasitic diseases"	"B90-B94"	123	42403677	0.3
	"55-64 years"	"55-64"	"Other infectious diseases"	"B99-B99"	61	42403677	0.1
	"55-64 years"	"55-64"	"Malignant neoplasms"	"C00-C97"	110243	42403677	260.0
	"55-64 years"	"55-64"	"In situ neoplasms"	"D00-D09"	26	42403677	0.1
	"55-64 years"	"55-64"	"Benign neoplasms"	"D10-D36"	206	42403677	0.5
	"55-64 years"	"55-64"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	1307	42403677	3.1
	"55-64 years"	"55-64"	"Nutritional anaemias"	"D50-D53"	36	42403677	0.1
